Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),1_ZONE1:Zone Air Temperature [C](Hourly),0_ZONE1:Zone Air Temperature [C](Hourly),0_ZONE2:Zone Air Temperature [C](Hourly),VRF_1_ZONE1 VRF HEAT PUMP:VRF Heat Pump COP [](Hourly),VRF_1_ZONE1 VRF HEAT PUMP:VRF Heat Pump Part Load Ratio [](Hourly),VRF_0_ZONE1 VRF HEAT PUMP:VRF Heat Pump COP [](Hourly),VRF_0_ZONE1 VRF HEAT PUMP:VRF Heat Pump Part Load Ratio [](Hourly),VRF_0_ZONE2 VRF HEAT PUMP:VRF Heat Pump COP [](Hourly),VRF_0_ZONE2 VRF HEAT PUMP:VRF Heat Pump Part Load Ratio [](Hourly) 
 01/01  01:00:00,11.650000000000004,13.24977028646066,13.07102931252429,13.408566136784059,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  02:00:00,11.025,12.297875220465662,12.517917810332789,12.78140880218478,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  03:00:00,9.991666666666668,11.295539459052114,11.784203870057589,12.026128160790196,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  04:00:00,9.35,10.374388567276247,11.340088778429499,11.52007093512737,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  05:00:00,8.808333333333334,9.580302619958406,11.044536195287302,11.152258225465113,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  06:00:00,8.424999999999999,8.923419908539766,10.85125973675553,10.889001517997885,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  07:00:00,8.183333333333334,21.85129172905293,21.678308126670204,21.640456460484008,2.604453793713364,0.40081790743979336,2.4505473248779205,0.35048159400724296,2.6178096379497988,0.4266516210492132 
 01/01  08:00:00,8.041666666666666,22.001289387331175,22.000620789541768,22.000594456337667,2.4350801956242824,0.30315463990353549,2.236679642126549,0.25,2.335920032692912,0.2643453993485296 
 01/01  09:00:00,8.233333333333333,22.001603823620774,22.017081253648244,22.00047733621061,2.169247555526995,0.25,1.7173508279361396,0.20833333333333335,2.2052373013829844,0.25 
 01/01  10:00:00,9.1,22.199516427863725,23.402931626789113,22.000374248666735,1.3764282307119347,0.16666666666666667,0.0,0.0,2.1590663770993419,0.25 
 01/01  11:00:00,10.65,24.555009153957657,25.236425006500246,23.277725774870644,0.0,0.0,0.0,0.0,0.34992424716187717,0.041666666666666667 
 01/01  12:00:00,12.508333333333333,25.993410928855565,25.91164543818533,25.91519149052036,2.114335758814503,0.23611111111111114,0.5426116594638414,0.125,1.8917780945518433,0.20138888888888893 
 01/01  13:00:00,14.291666666666666,25.997534010633819,25.671466495086649,25.99860263618839,2.3517602730140285,0.25,0.0,0.0,2.7523850092071204,0.25 
 01/01  14:00:00,15.758333333333333,25.995329749360918,25.966054212523074,25.998906569035566,2.625473016272922,0.25,1.7108531565537065,0.20833333333333335,2.727597332172481,0.25 
 01/01  15:00:00,16.533333333333336,25.995308847536806,25.976390112942388,25.999655690727179,2.6348725388064149,0.25,1.2993169468874444,0.16666666666666667,2.5567885564868835,0.25 
 01/01  16:00:00,16.641666666666667,25.996962126930727,25.066180504968416,26.000117418693376,2.5025034714614375,0.25,0.0,0.0,2.0611570704851958,0.25 
 01/01  17:00:00,16.483333333333336,25.873817455549788,22.638248452507744,24.44261575518661,1.3879653266174604,0.16666666666666667,0.0,0.0,0.0,0.0 
 01/01  18:00:00,16.166666666666669,22.9215119945749,20.154145333965329,21.208595759323598,0.25144218066198029,0.024999999999999999,0.37100082203244807,0.045833333333333347,0.27782541594907936,0.037500000000000009 
 01/01  19:00:00,15.65,22.001313571065283,22.000777054577556,22.000677581381927,2.548532256718362,0.25,2.726463148924912,0.25,2.684717120968516,0.25 
 01/01  20:00:00,14.991666666666668,22.00209841248021,22.0009174852122,22.000833943401799,2.5727566553859226,0.25,2.722585987439505,0.25,2.6958915453928937,0.25 
 01/01  21:00:00,14.291666666666666,22.002512290027327,22.00095776973198,22.000874296972886,2.5846508029576404,0.25,2.7031079658125547,0.25,2.683101756043049,0.25 
 01/01  22:00:00,13.475,22.002641012243545,22.001002368854644,22.000911672203995,2.5779245673988195,0.25,2.676636684100309,0.25,2.6623047324444637,0.25 
 01/01  23:00:00,12.575000000000001,16.652139963324843,17.527503866457093,17.59468367902984,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  24:00:00,11.675000000000003,14.699936516879426,14.237384050026597,14.594090703914582,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  01:00:00,10.775000000000004,13.138897619305804,13.117895514728352,13.403642643135092,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  02:00:00,9.933333333333334,12.041931467148203,12.911840820392412,12.974315901349052,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  03:00:00,9.133333333333333,11.10361142477876,12.703815412394624,12.621162315960936,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  04:00:00,8.450000000000001,10.224928153006795,12.383116162472755,12.214044788145117,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  05:00:00,7.8500000000000009,9.422257114987936,12.056785701233592,11.827901482653358,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  06:00:00,7.366666666666667,8.697771163764556,11.747104975999818,11.470441024684524,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  07:00:00,7.083333333333333,21.839996861692258,21.738115597562133,21.694207172190774,2.745267285717828,0.4084449923960074,2.4514245202278146,0.31867787244494336,2.658592165639866,0.40022834070991766 
 01/02  08:00:00,6.941666666666666,22.000738684565336,22.000463127389169,22.000383048317265,2.5864843703791,0.3101082643612976,2.3656731334477998,0.25,2.420867909877316,0.2535459792605396 
 01/02  09:00:00,7.133333333333333,22.00168802921493,22.00047218390061,22.000392128780026,2.3709809399117178,0.25,2.3139247794874975,0.25,2.350600738565666,0.25 
 01/02  10:00:00,8.0,22.003554627916697,22.00065192702101,22.0005090173707,2.36994356853964,0.25,2.338854770647278,0.25,2.354828549033994,0.25 
 01/02  11:00:00,9.433333333333334,22.00347284234223,22.000737424016735,22.000526633510039,2.4011145319982094,0.25,2.3947729839624576,0.25,2.3823122596914776,0.25 
 01/02  12:00:00,11.208333333333334,22.002525583496035,22.00073811015183,22.000474225561395,2.4449586112941135,0.25,2.4652454644687205,0.25,2.4280717062503824,0.25 
 01/02  13:00:00,12.991666666666668,22.00246968345097,22.000838578674267,22.000541827310216,2.53868158447767,0.25,2.568854615944572,0.25,2.5160019883715436,0.25 
 01/02  14:00:00,14.341666666666667,22.00119353114219,22.000514831718847,22.00032399262766,2.5311617339895258,0.25,2.591744502847535,0.25,2.535652552136869,0.25 
